cgpa,package
6.89,3.26
5.12,1.98
7.82,3.25
7.42,3.67
6.94,3.57
7.89,2.99
6.73,2.6
6.75,2.48
6.09,2.31
8.31,3.51
5.32,1.86
6.61,2.6
8.94,3.65
6.93,2.89
7.73,3.42
7.25,3.23
6.84,2.35
5.38,2.09
6.94,2.98
7.48,2.83
7.28,3.16
6.85,2.93
6.14,2.3
6.19,2.48
6.53,2.71
7.28,3.65
8.31,3.42
5.42,2.16
5.94,2.24
7.15,3.49
7.36,3.26
8.1,3.89
6.96,3.08
6.35,2.73
7.34,3.42
6.87,2.87
5.99,2.84
5.9,2.43
8.62,4.36
7.43,3.33
9.38,4.02
6.89,2.7
5.95,2.54
7.66,2.76
5.09,1.86
7.87,3.58
6.07,2.26
5.84,3.26
8.63,4.09
8.87,4.62
9.58,4.43
9.26,3.79
8.37,4.11
6.47,2.61
6.86,3.09
8.2,3.39
5.84,2.74
6.6,1.94
6.92,3.09
7.56,3.31
5.61,2.19
5.48,1.61
6.34,2.09
9.16,4.25
7.36,2.92
7.6,3.81
5.11,1.63
6.51,2.89
7.56,2.99
7.3,2.94
5.79,2.35
7.47,3.34
7.78,3.62
8.44,4.03
6.85,3.44
6.97,3.28
6.94,3.15
8.99,4.6
6.59,2.21
7.18,3.0
7.63,3.44
6.1,2.2
5.58,2.17
8.44,3.49
4.26,1.53
4.79,1.48
7.61,2.77
8.09,3.55
4.73,1.48
6.42,2.72
7.11,2.66
6.22,2.14
7.9,4.0
6.79,3.08
5.83,2.42
6.63,2.79
7.11,2.61
5.98,2.84
7.69,3.83
6.61,3.24
7.95,4.14
6.71,3.52
5.13,1.37
7.05,3.0
7.62,3.74
6.66,2.82
6.13,2.19
6.33,2.59
7.76,3.54
7.77,4.06
8.18,3.76
5.42,2.25
8.58,4.1
6.94,2.37
5.84,1.87
8.35,4.21
9.04,3.33
7.12,2.99
7.4,2.88
7.39,2.65
5.23,1.73
6.5,3.02
5.12,2.01
5.1,2.3
6.06,2.31
7.33,3.16
5.91,2.6
6.78,3.11
7.93,3.34
7.29,3.12
6.68,2.49
6.37,2.01
5.84,2.48
6.05,2.58
7.2,2.83
6.1,2.6
5.64,2.1
7.14,3.13
7.91,3.89
7.19,2.4
7.91,3.15
6.76,3.18
6.93,3.04
4.85,1.54
6.17,2.42
5.84,2.18
6.07,2.46
5.66,2.21
7.57,3.4
8.28,3.67
6.3,2.73
6.12,2.76
7.37,3.08
7.94,3.99
7.08,2.85
6.98,3.09
7.38,3.13
6.47,2.7
5.95,3.04
8.71,4.08
7.13,2.93
7.3,3.33
5.53,2.55
8.93,3.91
9.06,3.82
8.21,4.08
8.6,3.98
8.13,3.6
8.65,3.52
9.31,4.37
6.22,2.87
8.01,3.76
6.93,2.51
6.75,2.56
7.32,2.99
7.04,3.5
6.29,3.23
7.09,3.64
8.15,3.63
7.14,3.03
6.19,2.72
8.22,3.89
5.88,2.08
7.28,2.72
7.88,3.14
6.31,3.18
7.84,3.47
6.26,2.44
7.35,3.08
8.11,4.06
6.19,2.69
7.28,3.48
8.25,3.75
4.57,1.94
7.89,3.67
6.93,2.46
5.89,2.57
7.21,3.24
7.63,3.96
6.22,2.33
